G,T
1576,200.0
1746,200.0
1706,200.0
1477,200.0
1332,200.0
1807,200.0
1831,200.0
1403,130.0
1316,130.0
1348,130.0
1421,130.0
1343,130.0
1337,130.0
1232,130.0
1254,130.0
1461,130.0
1510,130.0
1228,130.0
1286,130.0
1497,130.0
1666,130.0
1840,130.0
1859,130.0
1548,130.0
1362,130.0
1557,130.0
1851,130.0
1412,130.0
1338,130.0
1377,130.0
1334,130.0
1263,130.0
1448,130.0
1345,130.0
1115,130.0
1400,130.0
1532,130.0
1316,130.0
1157,130.0
1297,130.0
1456,130.0
1578,130.0
1853,130.0
1735,130.0
1463,130.0
1383,130.0
1716,130.0
1739,130.0
1344,130.0
1345,130.0
1393,130.0
1373,130.0
1330,130.0
1360,130.0
1241,130.0
1141,130.0
1322,130.0
1379,130.0
1266,130.0
1262,130.0
1383,130.0
1470,130.0
1523,130.0
1786,130.0
1638,130.0
1408,130.0
1449,130.0
1702,130.0
1660,130.0
1343,130.0
1398,130.0
1384,130.0
1331,130.0
1408,130.0
1421,130.0
1198,130.0
1078,130.0
1273,130.0
1436,130.0
1314,130.0
1204,130.0
1377,130.0
1566,130.0
1681,130.0
1909,130.0
1697,130.0
1357,130.0
1415,130.0
1784,130.0
1744,130.0
1446,130.0
1416,130.0
1457,130.0
1432,130.0
1479,130.0
1460,130.0
1189,130.0
1112,130.0
1218,130.0
1382,130.0
1286,130.0
1327,130.0
1529,130.0
1672,130.0
1690,130.0
1922,130.0
1768,130.0
1444,130.0
1493,130.0
1800,130.0
1632,130.0
1479,130.0
1473,130.0
1494,130.0
1251,130.0
1249,130.0
1092,130.0
1111,130.0
1219,130.0
1508,130.0
1477,130.0
1257,130.0
1298,130.0
1601,130.0
1735,130.0
1859,130.0
1938,130.0
1663,130.0
1474,130.0
1641,130.0
1813,130.0
1747,130.0
1480,130.0
1401,130.0
1441,130.0
1332,130.0
1255,130.0
1253,130.0
1118,130.0
1348,130.0
1443,130.0
1415,200.0
1387,200.0
1554,200.0
1737,200.0
1741,200.0
1774,200.0
1778,200.0
1582,130.0
1417,130.0
1719,130.0
1978,130.0
1573,130.0
1418,130.0
1479,130.0
1440,130.0
1197,130.0
1270,130.0
1192,130.0
1262,130.0
1333,130.0
1402,130.0
1478,130.0
1480,130.0
1592,130.0
1674,130.0
1707,130.0
1890,130.0
1803,130.0
1538,130.0
1586,130.0
1939,130.0
1917,130.0
1611,130.0
1480,130.0
1439,130.0
1408,130.0
1303,130.0
1242,130.0
1147,130.0
1216,130.0
1488,130.0
1532,130.0
1383,200.0
1520,200.0
1738,200.0
1859,200.0
1908,200.0
1907,200.0
1649,200.0
1400,200.0
1659,200.0
1907,200.0
1544,130.0
1450,130.0
1546,130.0
1410,130.0
1395,130.0
1374,130.0
1380,130.0
1280,130.0
1415,130.0
1376,130.0
1294,130.0
1420,130.0
1665,130.0
1691,130.0
1640,130.0
1836,130.0
1782,130.0
1531,130.0
1641,130.0
2004,130.0
1677,130.0
1379,130.0
1353,130.0
1316,130.0
1277,130.0
1444,130.0
1365,130.0
1211,130.0
1210,130.0
1335,130.0
1329,130.0
1292,130.0
