G,T
2217,200.0
1760,200.0
1724,200.0
1413,200.0
1806,200.0
2323,200.0
2892,200.0
2479,130.0
1885,130.0
1760,130.0
1863,130.0
1996,130.0
2261,130.0
1604,130.0
1480,130.0
1662,130.0
2863,130.0
2541,230.0
2213,230.0
2127,230.0
2229,230.0
1889,230.0
1943,230.0
1568,230.0
1689,230.0
2437,230.0
2857,230.0
2310,230.0
1706,230.0
1672,230.0
1848,230.0
2008,230.0
2295,230.0
1683,230.0
1355,230.0
1956,230.0
3122,230.0
2357,230.0
1928,230.0
1777,230.0
2099,230.0
1962,230.0
1987,230.0
1441,230.0
1752,230.0
2212,230.0
2553,230.0
2000,230.0
1704,230.0
1786,230.0
1957,230.0
2106,230.0
2171,230.0
1844,230.0
1336,230.0
2022,230.0
2444,230.0
1875,230.0
1761,230.0
1855,230.0
2045,230.0
1898,230.0
1771,230.0
1639,230.0
1767,230.0
2508,230.0
2408,230.0
1812,230.0
1417,230.0
1529,230.0
1743,230.0
1959,230.0
2094,230.0
1675,230.0
1248,230.0
2625,230.0
2583,230.0
1944,230.0
1741,230.0
1720,230.0
1849,230.0
1745,230.0
1515,230.0
1498,230.0
1876,230.0
2588,230.0
2439,230.0
1827,230.0
1549,230.0
1719,230.0
1846,230.0
1957,230.0
2044,230.0
1449,230.0
1451,230.0
2709,230.0
2450,230.0
1932,230.0
2272,230.0
2125,230.0
1995,230.0
1771,230.0
1605,230.0
1615,230.0
2000,230.0
2482,230.0
2093,200.0
1546,200.0
1577,200.0
1635,200.0
1828,200.0
2230,200.0
2004,200.0
1430,200.0
1658,200.0
2779,200.0
2257,230.0
1820,230.0
1728,230.0
1905,230.0
1829,230.0
1694,230.0
1568,230.0
1670,230.0
2170,230.0
2739,230.0
2108,230.0
1664,230.0
1645,230.0
1989,230.0
2331,230.0
2460,230.0
1625,230.0
1065,230.0
2489,230.0
2445,230.0
1861,230.0
1762,230.0
2092,230.0
2148,230.0
1974,230.0
1707,230.0
1589,230.0
2179,230.0
2709,230.0
2065,230.0
1559,230.0
1496,230.0
1601,230.0
1785,230.0
2067,230.0
2252,230.0
1256,230.0
1842,230.0
2947,230.0
2108,230.0
1728,230.0
1796,230.0
2055,230.0
1882,230.0
1710,230.0
1824,230.0
2013,230.0
2292,230.0
2648,230.0
1953,230.0
1829,230.0
1709,230.0
1598,230.0
2144,230.0
2127,200.0
1832,200.0
1195,200.0
