G,T
2367,430.0
1695,430.0
1456,430.0
1515,430.0
1444,430.0
1186,430.0
2670,430.0
4042,430.0
3547,430.0
2072,430.0
1379,430.0
999,430.0
1005,430.0
869,430.0
1192,430.0
4530,430.0
4130,430.0
1985,430.0
1689,430.0
1051,430.0
1044,430.0
1027,430.0
1254,430.0
1555,430.0
2588,430.0
3873,430.0
2975,430.0
1723,430.0
1240,430.0
838,430.0
990,430.0
1205,430.0
1951,430.0
4687,430.0
3001,430.0
2203,430.0
1540,430.0
1421,430.0
1070,430.0
1056,430.0
1265,430.0
3104,430.0
4627,430.0
3816,430.0
2666,430.0
1764,430.0
1319,430.0
1071,430.0
1263,430.0
1970,430.0
3491,430.0
4016,430.0
2265,430.0
1891,430.0
1494,430.0
899,430.0
686,430.0
639,430.0
884,430.0
2861,430.0
4031,430.0
2939,430.0
1759,430.0
1094,430.0
774,430.0
976,430.0
1630,430.0
2545,430.0
6586,430.0
5243,430.0
2433,430.0
1165,430.0
1293,430.0
967,430.0
928,430.0
970,430.0
2711,430.0
5093,430.0
3253,430.0
2235,430.0
1417,430.0
980,430.0
1148,430.0
928,430.0
1792,430.0
5247,430.0
3727,430.0
1798,430.0
1168,430.0
1313,430.0
1287,430.0
1175,430.0
2318,430.0
3298,430.0
3680,430.0
2784,430.0
1777,430.0
1433,430.0
1290,430.0
1386,430.0
1538,430.0
4888,430.0
4146,330.0
2102,330.0
1237,330.0
948,330.0
1266,330.0
1228,330.0
977,330.0
2685,330.0
3978,330.0
3257,430.0
1768,430.0
1343,430.0
918,430.0
1114,430.0
1450,430.0
3055,430.0
5566,430.0
2788,430.0
1697,430.0
906,430.0
1097,430.0
1138,430.0
997,430.0
1541,430.0
3912,430.0
4078,430.0
2799,430.0
1420,430.0
1117,430.0
794,430.0
777,430.0
904,430.0
1211,430.0
3454,430.0
4407,430.0
1869,430.0
2097,430.0
1316,430.0
908,430.0
868,430.0
769,430.0
929,430.0
2463,430.0
3975,430.0
3117,430.0
2097,430.0
1265,430.0
901,430.0
809,430.0
700,430.0
812,430.0
803,430.0
2335,430.0
3748,430.0
2956,430.0
2055,430.0
1707,430.0
1179,430.0
859,430.0
778,430.0
623,430.0
908,430.0
2211,430.0
