G,T
1418,130.0
1291,130.0
1319,130.0
1333,130.0
1404,130.0
1618,130.0
1637,130.0
1790,130.0
1790,130.0
1698,130.0
1506,130.0
1424,130.0
1197,130.0
1033,130.0
977,130.0
903,130.0
1101,130.0
1087,130.0
1431,130.0
1541,130.0
1537,130.0
1605,130.0
1677,130.0
1521,130.0
1334,130.0
1340,130.0
1389,130.0
1247,130.0
1673,130.0
1489,130.0
1690,130.0
1747,130.0
1697,130.0
1505,130.0
1357,130.0
1205,130.0
1140,130.0
1206,130.0
1138,130.0
1128,130.0
1039,130.0
1180,130.0
1396,130.0
1399,130.0
1491,130.0
1564,130.0
1570,130.0
1451,130.0
1304,130.0
1336,130.0
1295,130.0
1622,130.0
1463,130.0
1605,130.0
1786,130.0
1760,130.0
1668,130.0
1501,130.0
1314,130.0
1181,130.0
1191,130.0
1160,130.0
1082,130.0
1036,130.0
1029,130.0
1352,130.0
1471,130.0
1447,130.0
1505,130.0
1503,130.0
1436,130.0
1397,130.0
1537,130.0
1459,130.0
1642,130.0
1360,130.0
1606,130.0
1770,130.0
1740,130.0
1635,130.0
1492,130.0
1326,130.0
1135,130.0
1082,130.0
1061,130.0
953,130.0
1051,130.0
1067,130.0
1462,130.0
1648,130.0
1601,130.0
1516,130.0
1528,130.0
1400,130.0
1253,130.0
1389,130.0
1487,130.0
1580,130.0
1482,200.0
1739,200.0
1919,200.0
1748,200.0
1517,200.0
1451,200.0
1361,200.0
1163,200.0
1074,200.0
1024,200.0
946,200.0
1102,200.0
1094,130.0
1410,130.0
1527,130.0
1383,130.0
1477,130.0
1617,130.0
1549,130.0
1376,130.0
1475,130.0
1494,130.0
1535,130.0
1555,130.0
1533,130.0
1847,130.0
1772,130.0
1520,130.0
1386,130.0
1298,130.0
1137,130.0
1125,130.0
1141,130.0
1004,130.0
1121,130.0
1045,130.0
1395,130.0
1537,130.0
1607,130.0
1612,130.0
1571,130.0
1527,130.0
1353,130.0
1468,130.0
1446,130.0
1478,130.0
1703,130.0
1484,130.0
1783,130.0
1865,130.0
1645,130.0
1526,130.0
1366,130.0
1216,130.0
1153,130.0
1165,130.0
975,130.0
1165,130.0
1170,130.0
1567,130.0
1704,130.0
1750,130.0
1777,130.0
1640,130.0
1457,130.0
1371,130.0
1485,130.0
1426,130.0
1639,130.0
1459,130.0
1829,130.0
2001,130.0
1827,200.0
1669,200.0
1470,200.0
1280,200.0
1116,200.0
1067,200.0
1008,200.0
1021,200.0
1167,200.0
1216,200.0
1525,200.0
1552,200.0
1599,200.0
1621,200.0
1671,200.0
1514,130.0
1384,130.0
1460,130.0
1350,130.0
1541,130.0
1544,130.0
1819,130.0
1948,130.0
1748,130.0
1585,130.0
1467,130.0
1326,130.0
1136,130.0
1098,130.0
1048,130.0
1075,130.0
1186,130.0
1250,130.0
1572,130.0
1591,130.0
1586,130.0
1685,130.0
1771,130.0
1516,130.0
1492,130.0
1517,130.0
1455,130.0
1678,130.0
1511,130.0
1864,130.0
1961,130.0
1787,130.0
1623,130.0
1435,130.0
1307,130.0
1142,130.0
1114,130.0
994,130.0
1057,130.0
1248,130.0
1479,130.0
1406,130.0
1324,130.0
1334,130.0
