G,T
939,430.0
1405,430.0
1198,430.0
1398,430.0
3936,430.0
4742,430.0
2708,430.0
1599,430.0
2122,430.0
1822,430.0
1697,430.0
3663,430.0
4657,430.0
2439,430.0
924,430.0
647,430.0
1129,430.0
1287,430.0
1539,430.0
4252,430.0
4576,430.0
2467,430.0
1476,430.0
1843,430.0
1874,430.0
1265,430.0
2440,430.0
5229,430.0
3248,430.0
1309,430.0
708,430.0
1129,430.0
1387,430.0
1165,430.0
3650,430.0
5711,430.0
2844,430.0
1375,430.0
1581,430.0
1929,430.0
1183,430.0
1286,430.0
3723,430.0
4881,430.0
2440,430.0
1261,430.0
956,430.0
1200,430.0
1148,430.0
1165,430.0
3370,430.0
5383,430.0
2912,430.0
1739,430.0
1236,430.0
1450,430.0
1537,430.0
1214,430.0
1746,430.0
4722,430.0
3972,430.0
1886,430.0
1319,430.0
940,430.0
928,430.0
922,430.0
960,430.0
2115,430.0
5218,430.0
3200,430.0
2242,430.0
1580,430.0
1324,430.0
995,430.0
715,430.0
613,430.0
